Respondent_ID,Choice_Set_ID,Main_Choice,Sub_Option,Rank,Abroad Study?
0,Education Quality,A,Moderately priced tuition fees,1,I am already in Abroad
0,Education Quality,A,High-quality education,2,I am already in Abroad
0,Education Quality,A,Limited availability of scholarships,3,I am already in Abroad
0,Career Prospects,B,Abundant availability of part-time job opportunities during studies,1,I am already in Abroad
0,Career Prospects,B,Moderate career prospects and job opportunities post-graduation,2,I am already in Abroad
0,Career Prospects,B,Lower paygrade,3,I am already in Abroad
0,Political Factors,B,Higher living expenses due to economic challenges,1,I am already in Abroad
0,Political Factors,B,Limited access to civil liberties and freedom of expression,2,I am already in Abroad
0,Political Factors,B,Political instability and unrest in the home country,3,I am already in Abroad
0,Social Factors,A,Higher cost of living in socially vibrant urban areas,1,I am already in Abroad
0,Social Factors,A,Access to diverse social networks and communities,2,I am already in Abroad
0,Social Factors,A,Few opportunities for social interaction,3,I am already in Abroad
0,Economic Factors,A,Access to diverse job opportunities with competitive salaries,1,I am already in Abroad
0,Economic Factors,A,Higher cost of living in urban areas,2,I am already in Abroad
0,Economic Factors,A,Limited availability of affordable housing options,3,I am already in Abroad
0,Safety/Security,B,Active police presence,1,I am already in Abroad
0,Safety/Security,B,Efficient emergency services,2,I am already in Abroad
0,Safety/Security,B,Low crime rates,3,I am already in Abroad
0,University Preference,B,Moderately prestige and reputation of universities,1,I am already in Abroad
0,University Preference,B,More opportunity after graduation,2,I am already in Abroad
0,University Preference,B,Diverse availability of desired courses,3,I am already in Abroad
0,Language Access,B,Different primary language spoken requiring language adaptation,1,I am already in Abroad
0,Language Access,B,Some level of language barrier may exist making communication less straightforward,2,I am already in Abroad
0,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),3,I am already in Abroad
0,Cultural Exposure,A,Rich cultural exposure and diversity on campus,1,I am already in Abroad
0,Cultural Exposure,A,Limited access to cultural events,2,I am already in Abroad
0,Cultural Exposure,A,Few opportunities for cultural exchange,3,I am already in Abroad
0,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,I am already in Abroad
0,Research Opportunities,A,Few collaborations with other researchers,2,I am already in Abroad
0,Research Opportunities,A,Limited availability of research job opportunities after studies,3,I am already in Abroad
0,Environmental Factors,A,Access to clean and sustainable living environments,1,I am already in Abroad
0,Environmental Factors,A,Higher cost of living in environmentally rich regions,2,I am already in Abroad
0,Environmental Factors,A,Limited availability of outdoor recreational activities,3,I am already in Abroad
1,Education Quality,A,High-quality education,1,Yes
1,Education Quality,A,Moderately priced tuition fees,2,Yes
1,Education Quality,A,Limited availability of scholarships,3,Yes
1,Career Prospects,A,Higher paygrade,1,Yes
1,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,Yes
1,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,Yes
1,Political Factors,B,Limited access to civil liberties and freedom of expression,1,Yes
1,Political Factors,B,Higher living expenses due to economic challenges,2,Yes
1,Political Factors,B,Political instability and unrest in the home country,3,Yes
1,Social Factors,A,Access to diverse social networks and communities,1,Yes
1,Social Factors,A,Higher cost of living in socially vibrant urban areas,2,Yes
1,Social Factors,A,Few opportunities for social interaction,3,Yes
1,Economic Factors,A,Access to diverse job opportunities with competitive salaries,1,Yes
1,Economic Factors,A,Higher cost of living in urban areas,2,Yes
1,Economic Factors,A,Limited availability of affordable housing options,3,Yes
1,Safety/Security,B,Active police presence,1,Yes
1,Safety/Security,B,Efficient emergency services,2,Yes
1,Safety/Security,B,Low crime rates,3,Yes
1,University Preference,B,Diverse availability of desired courses,1,Yes
1,University Preference,B,More opportunity after graduation,2,Yes
1,University Preference,B,Moderately prestige and reputation of universities,3,Yes
1,Language Access,A,Communication is generally easy due to fluency in the local language,1,Yes
1,Language Access,A,Majority of the population speaks a language I am fluent in,2,Yes
1,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,Yes
1,Cultural Exposure,A,Rich cultural exposure and diversity on campus,1,Yes
1,Cultural Exposure,A,Limited access to cultural events,2,Yes
1,Cultural Exposure,A,Few opportunities for cultural exchange,3,Yes
1,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,Yes
1,Research Opportunities,A,Limited availability of research job opportunities after studies,2,Yes
1,Research Opportunities,A,Few collaborations with other researchers,3,Yes
1,Environmental Factors,A,Access to clean and sustainable living environments,1,Yes
1,Environmental Factors,A,Higher cost of living in environmentally rich regions,2,Yes
1,Environmental Factors,A,Limited availability of outdoor recreational activities,3,Yes
2,Education Quality,A,Moderately priced tuition fees,1,Yes
2,Education Quality,A,High-quality education,2,Yes
2,Education Quality,A,Limited availability of scholarships,3,Yes
2,Career Prospects,A,Higher paygrade,1,Yes
2,Career Prospects,A,Limited availability of part-time job opportunities during studies,2,Yes
2,Career Prospects,A,Strong career prospects and job opportunities post-graduation,3,Yes
2,Political Factors,B,Limited access to civil liberties and freedom of expression,1,Yes
2,Political Factors,B,Higher living expenses due to economic challenges,2,Yes
2,Political Factors,B,Political instability and unrest in the home country,3,Yes
2,Social Factors,B,Abundant opportunities for social interaction,1,Yes
2,Social Factors,B,Lower cost of living in quieter areas,2,Yes
2,Social Factors,B,Limited social integration and community engagement,3,Yes
2,Economic Factors,A,Access to diverse job opportunities with competitive salaries,1,Yes
2,Economic Factors,A,Limited availability of affordable housing options,2,Yes
2,Economic Factors,A,Higher cost of living in urban areas,3,Yes
2,Safety/Security,B,Low crime rates,1,Yes
2,Safety/Security,B,Efficient emergency services,2,Yes
2,Safety/Security,B,Active police presence,3,Yes
2,University Preference,B,Diverse availability of desired courses,1,Yes
2,University Preference,B,More opportunity after graduation,2,Yes
