Gender,Age,Education Level,Marital Status,Household Males,Household Females,Educated Family Members,Oldest Child?,Younger Siblings,Older Siblings,Mother’s Education,Father’s Education,Parents’ Jobs,Family Income,Part-Time Work?,District,Family Abroad,Abroad Country,Plans to Study Abroad,Reasons for Staying,Target Study Abroad Country,Planned Year Abroad,Study Subject Abroad,Decision Difficulty,AI Tool Usefulness (1-10),Current Country,Study Start Date,Study Subject,Choosing Difficulty,AI Tool Usefulness (1-10),Education Quality,Career Prospects,Political Factors,Social Factors,Economic Factors,Safety/Security,University Preference,Language Access,Cultural Exposure,Research Opportunities,Environmental Factors,AI Familiarity,Key AI Factors,Valuable AI Insights,AI Bias Concerns,Trust in AI,Used AI Tools,Additional Comments,Quality Edu Ranking - A,Quality Edu Ranking - B,Career Rank -A,Career Rank -B,Political Rank -A,Political Rank -B,Social Rank -A,Social Rank -B,Economic Rank -A,Economic Rank -B,Safety Rank -A,Safety Rank -B,University Rank -A,University Rank -B,Language Rank -A,Language Rank -B,Cultural Rank -A,Cultural Rank -B,Research Rank -A,Research Rank -B,Environment Rank -A,Environment Rank -B
Male,21-25,High School,Single,2,2,4,Yes,1,,PCL/+2,Bachelor's Degree,Business,"NPR 60,001 to NPR 80,000",Yes,Doti,Yes,Australia,I am already in Abroad,,,,,,,Australia,01/06/2022,Business and Economics,Hard,3,Option A,Option B,Option B,Option A,Option A,Option B,Option B,Option B,Option A,Option A,Option A,Moderately familiar,Accuracy and reliability of the recommendations,Choosing a country or region,Neutral,Explanations of the reasoning behind the recommendations,,,"Moderately priced tuition fees
 ,High-quality education,Limited availability of scholarships",,,"Abundant availability of part-time job opportunities during studies,Moderate career prospects and job opportunities post-graduation,Lower paygrade",,"Higher living expenses due to economic challenges
 ,Limited access to civil liberties and freedom of expression
 ,Political instability and unrest in the home country","Higher cost of living in socially vibrant urban areas
 ,Access to diverse social networks and communities,Few opportunities for social interaction",,"Access to diverse job opportunities with competitive salaries
 ,Higher cost of living in urban areas
 ,Limited availability of affordable housing options",,,"Active police presence,Efficient emergency services,Low crime rates",,"Moderately prestige and reputation of universities
 ,More opportunity after graduation,Diverse availability of desired courses",,"Different primary language spoken requiring language adaptation,Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)","Rich cultural exposure and diversity on campus
 ,Limited access to cultural events,Few opportunities for cultural exchange",,"Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,"Access to clean and sustainable living environments
 ,Higher cost of living in environmentally rich regions
 ,Limited availability of outdoor recreational activities",
Male,21-25,Bachelor's Degree,Single,4,2,3,No,,2,Illiterate,Primary,Non-Governmental Service,"NPR 60,001 to NPR 80,000",Yes,Banke,No,,Yes,,Canada,2026,Business and Economics,Hard,8,,,,,,Option A,Option A,Option B,Option A,Option A,Option B,Option B,Option A,Option A,Option A,Option A,Slightly familiar,"Accuracy and reliability of the recommendations,Transparency in how the AI tool arrives at its recommendations","Choosing a country or region,Selecting a specific university or program",Somewhat concerned,"Transparency about the data sources and algorithms used,Endorsements or certifications from reputable organizations",,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,,"Limited access to civil liberties and freedom of expression
 ,Higher living expenses due to economic challenges
 ,Political instability and unrest in the home country","Access to diverse social networks and communities,Higher cost of living in socially vibrant urban areas
 ,Few opportunities for social interaction",,"Access to diverse job opportunities with competitive salaries
 ,Higher cost of living in urban areas
 ,Limited availability of affordable housing options",,,"Active police presence,Efficient emergency services,Low crime rates",,"Diverse availability of desired courses
 ,More opportunity after graduation,Moderately prestige and reputation of universities","Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Rich cultural exposure and diversity on campus
 ,Limited access to cultural events,Few opportunities for cultural exchange",,"Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies
 ,Few collaborations with other researchers",,"Access to clean and sustainable living environments
 ,Higher cost of living in environmentally rich regions
 ,Limited availability of outdoor recreational activities",
Female,16-20,High School,Single,2,2,2,Yes,1,,Master's Degree,Bachelor's Degree,Non-Governmental Service,"NPR 30,001 to NPR 60,000",No,Kathmandu,No,,Yes,,New Zealand,2025,"Humanities (Languages, Literature, History, Philosophy)",Hard,7,,,,,,Option A,Option A,Option B,Option B,Option A,Option B,Option B,Option A,Option B,Option B,Option B,Moderately familiar,Accuracy and reliability of the recommendations,Finding scholarship or financial aid opportunities,Not very concerned,Endorsements or certifications from reputable organizations,,,"Moderately priced tuition fees
 ,High-quality education,Limited availability of scholarships",,"Higher paygrade
 ,Limited availability of part-time job opportunities during studies
 ,Strong career prospects and job opportunities post-graduation",,,"Limited access to civil liberties and freedom of expression
 ,Higher living expenses due to economic challenges
 ,Political instability and unrest in the home country",,"Abundant opportunities for social interaction
 ,Lower cost of living in quieter areas
 ,Limited social integration and community engagement","Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options
 ,Higher cost of living in urban areas",,,"Low crime rates,Efficient emergency services,Active police presence",,"Diverse availability of desired courses
 ,More opportunity after graduation,Moderately prestige and reputation of universities","Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange",,"High collaborations with other researchers,Abundant availability of research job opportunities after studies,Limited research opportunities and resources available during studies",,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
Male,16-20,High School,Single,2,2,4,No,,1,Bachelor's Degree,Bachelor's Degree,Business,"NPR 1,10,001 to NPR 2,00,000",No,Kathmandu,No,,No plan to go,,,,,,,,,,,,Option A,Option A,Option A,Option A,Option A,Option B,Option A,Option A,Option A,Option A,Option A,Moderately familiar,"Accuracy and reliability of the recommendations,Cost-effectiveness and affordability of the AI tool","Estimating the total cost of studying and living expenses,Understanding visa and immigration requirements",Not very concerned,User reviews and ratings from other students,,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,"Lower living expenses due to economic challenges,Political stability and security in the home country,Abundant access to civil liberties and freedom of expression",,"Access to diverse social networks and communities,Few opportunities for social interaction
 ,Higher cost of living in socially vibrant urban areas",,"Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options
 ,Higher cost of living in urban areas",,,"Low crime rates,Efficient emergency services,Active police presence","Prestige and reputation of universities
 ,Few opportunity after graduation,Limited availability of desired courses",,"Majority of the population speaks a language I am fluent in
 ,Communication is generally easy due to fluency in the local language
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Rich cultural exposure and diversity on campus
 ,Limited access to cultural events,Few opportunities for cultural exchange",,"Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,"Access to clean and sustainable living environments
 ,Higher cost of living in environmentally rich regions
 ,Limited availability of outdoor recreational activities",
Female,21-25,Bachelor's Degree,Single,2,3,4,Yes,3,,Bachelor's Degree,Bachelor's Degree,Non-Governmental Service,"NPR 30,001 to NPR 60,000",Yes,Tanahun,No,,Yes,,United Kingdom,2025,"Humanities (Languages, Literature, History, Philosophy)",Hard,7,,,,,,Option A,Option B,Option B,Option A,Option A,Option B,Option B,Option A,Option A,Option A,Option A,Very familiar,Transparency in how the AI tool arrives at its recommendations,Estimating the total cost of studying and living expenses,Not very concerned,Transparency about the data sources and algorithms used,,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,,"Abundant availability of part-time job opportunities during studies,Moderate career prospects and job opportunities post-graduation,Lower paygrade",,"Limited access to civil liberties and freedom of expression
 ,Higher living expenses due to economic challenges
 ,Political instability and unrest in the home country","Access to diverse social networks and communities,Few opportunities for social interaction
 ,Higher cost of living in socially vibrant urban areas",,"Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options
 ,Higher cost of living in urban areas",,,"Active police presence,Efficient emergency services,Low crime rates",,"Diverse availability of desired courses
 ,More opportunity after graduation,Moderately prestige and reputation of universities","Majority of the population speaks a language I am fluent in
 ,Communication is generally easy due to fluency in the local language
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Rich cultural exposure and diversity on campus
 ,Limited access to cultural events,Few opportunities for cultural exchange",,"Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,"Access to clean and sustainable living environments
 ,Higher cost of living in environmentally rich regions
 ,Limited availability of outdoor recreational activities",
Female,16-20,High School,Single,2,2,2,No,,1,Bachelor's Degree,Bachelor's Degree,Non-Governmental Service,"NPR 60,001 to NPR 80,000",No,Jajarkot,No,,I am already in Abroad,,,,,,,United Kingdom,01/05/2023,"Social Sciences (Psychology ,Sociology, Political Science)",Hard,7,Option A,Option A,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Very familiar,Transparency in how the AI tool arrives at its recommendations,Choosing a country or region,Neutral,Clear explanations of how recommendations align with my preferences,,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,,"Higher living expenses due to economic challenges
 ,Limited access to civil liberties and freedom of expression
 ,Political instability and unrest in the home country",,"Abundant opportunities for social interaction
 ,Lower cost of living in quieter areas
 ,Limited social integration and community engagement","Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options
 ,Higher cost of living in urban areas",,,"Low crime rates,Efficient emergency services,Active police presence",,"Diverse availability of desired courses
 ,More opportunity after graduation,Moderately prestige and reputation of universities",,"Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Different primary language spoken requiring language adaptation",,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange",,"High collaborations with other researchers,Abundant availability of research job opportunities after studies,Limited research opportunities and resources available during studies",,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
Female,21-25,High School,Single,2,2,4,Yes,1,,Master's Degree,Master's Degree,Business,"NPR 1,10,001 to NPR 2,00,000",No,Jhapa,No,,Yes,,Australia,2026,Business and Economics,Very Hard,3,,,,,,Option A,Option A,Option A,Option A,Option B,Option B,Option B,Option B,Option B,Option B,Option A,Slightly familiar,"Accuracy and reliability of the recommendations,User-friendly interface and ease of use",Choosing a country or region,Not very concerned,Transparency about the data sources and algorithms used,,,"Moderately priced tuition fees
 ,High-quality education,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,"Political stability and security in the home country,Abundant access to civil liberties and freedom of expression,Lower living expenses due to economic challenges",,"Access to diverse social networks and communities,Few opportunities for social interaction
 ,Higher cost of living in socially vibrant urban areas",,,"Abundant availability of affordable housing options,Lower cost of living in rural areas
 ,Limited job opportunities with lower salaries",,"Active police presence,Efficient emergency services,Low crime rates",,"Diverse availability of desired courses
 ,More opportunity after graduation,Moderately prestige and reputation of universities",,"Different primary language spoken requiring language adaptation
 ,Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange",,"High collaborations with other researchers,Abundant availability of research job opportunities after studies,Limited research opportunities and resources available during studies","Higher cost of living in environmentally rich regions
 ,Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities",
Male,21-25,Bachelor's Degree,Single,2,2,2,No,,1,Illiterate,Illiterate,Business,"NPR 30,001 to NPR 60,000",No,Palpa,Yes,United States,I am already in Abroad,,,,,,,United Kingdom,01/07/2022,"STEM (Science, Technology, Engineering, Mathematics)",Hard,7,Option A,Option A,Option B,Option A,Option A,Option B,Option A,Option A,Option A,Option A,Option A,Slightly familiar,"Accuracy and reliability of the recommendations,Personalization based on your specific preferences and goals,User-friendly interface and ease of use","Choosing a country or region,Selecting a specific university or program",Somewhat concerned,"Explanations of the reasoning behind the recommendations,Transparency about the data sources and algorithms used",,,"Moderately priced tuition fees
 ,High-quality education,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,,"Higher living expenses due to economic challenges
 ,Limited access to civil liberties and freedom of expression
 ,Political instability and unrest in the home country","Higher cost of living in socially vibrant urban areas
 ,Access to diverse social networks and communities,Few opportunities for social interaction",,"Access to diverse job opportunities with competitive salaries
 ,Higher cost of living in urban areas
 ,Limited availability of affordable housing options",,,"Active police presence,Efficient emergency services,Low crime rates","Prestige and reputation of universities
 ,Limited availability of desired courses,Few opportunity after graduation",,"Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Limited access to cultural events,Rich cultural exposure and diversity on campus
 ,Few opportunities for cultural exchange",,"Few collaborations with other researchers
 ,Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies",,"Higher cost of living in environmentally rich regions
 ,Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities",
Female,16-20,Master's Degree,Single,2,2,4,Yes,1,,Bachelor's Degree,Bachelor's Degree,Business,"NPR 30,001 to NPR 60,000",No,Dadeldhura,Yes,Australia,Yes,,Australia,2029,"Humanities (Languages, Literature, History, Philosophy)",Hard,7,,,,,,Option A,Option A,Option B,Option A,Option B,Option B,Option A,Option A,Option A,Option A,Option B,Moderately familiar,Transparency in how the AI tool arrives at its recommendations,Choosing a country or region,Neutral,"Explanations of the reasoning behind the recommendations,Clear explanations of how recommendations align with my preferences",,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,,"Higher living expenses due to economic challenges
 ,Limited access to civil liberties and freedom of expression
 ,Political instability and unrest in the home country","Higher cost of living in socially vibrant urban areas,Access to diverse social networks and communities,Few opportunities for social interaction",,"Access to diverse job opportunities with competitive salaries
 ,Higher cost of living in urban areas
 ,Limited availability of affordable housing options",,,"Active police presence,Efficient emergency services,Low crime rates","Prestige and reputation of universities
 ,Limited availability of desired courses,Few opportunity after graduation",,"Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Rich cultural exposure and diversity on campus
 ,Limited access to cultural events,Few opportunities for cultural exchange",,"Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies
 ,Few collaborations with other researchers",,,"Abundant availability of outdoor recreational activities
 ,Exposure to environmental pollution and degradation
 ,Lower cost of living in environmentally diverse regions"
Male,21-25,Master's Degree,Single,2,3,3,Yes,3,,Secondary,Bachelor's Degree,Business,"NPR 60,001 to NPR 80,000",Yes,Rasuwa,No,,I am already in Abroad,,,,,,,Australia,01/03/2019,Business and Economics,Neutral,2,Option A,Option A,Option A,Option B,Option B,Option B,Option A,Option B,Option B,Option B,Option B,Moderately familiar,Accuracy and reliability of the recommendations,Selecting a specific university or program,Somewhat concerned,Explanations of the reasoning behind the recommendations,,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,"Lower living expenses due to economic challenges,Political stability and security in the home country,Abundant access to civil liberties and freedom of expression",,,"Abundant opportunities for social interaction
 ,Lower cost of living in quieter areas
 ,Limited social integration and community engagement",,"Limited job opportunities with lower salaries ,Abundant availability of affordable housing options,Lower cost of living in rural areas",,"Active police presence,Efficient emergency services,Low crime rates","Prestige and reputation of universities
 ,Limited availability of desired courses,Few opportunity after graduation",,,"Some level of language barrier may exist making communication less straightforward,Different primary language spoken requiring language adaptation
 ,Requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange",,"Abundant availability of research job opportunities after studies,High collaborations with other researchers,Limited research opportunities and resources available during studies",,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
