University Name,GRE AWA,GRE Quant,GRE Verbal,GPA,Degree,Course Name,Category
Boston University,4,170,156,3.8,PhD,Aerospace and Mechanical Engineering ,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4.5,153,158,3.75,PhD,Anthropology,"Humanities (Languages, Literature, History, Philosophy)"
Boston University,4,159,164,3.97,PhD,Art History,Arts and Design
Boston University,5,149,155,3.76,PhD,Art History,Arts and Design
Boston University,3.5,156,165,3.88,Master,Arts ,Arts and Design
Boston University,5.5,162,161,,PhD,Astronomy and Astrophysics,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,5.5,150,160,3.16,Master,Behavioral Science And Health Education,"Social Sciences (Psychology, Sociology, Political Science)"
Boston University,,166,163,3.86,PhD,Bioengineering,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4.5,167,147,3.5,PhD,Bioengineering ,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4.5,161,163,3.54,Master,Bioinformatics,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4,163,159,3.3,Master,Bioinformatics,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4.5,163,166,3.78,PhD,Biology,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4.5,160,155,3.44,PhD,Biomedical Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,5,167,170,3.87,PhD,Biomedical Engineering ,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,3,167,157,3.7,PhD,Biostatistics,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4.5,167,154,3.87,PhD,Biostatistics,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4.5,167,163,3.69,Master,Biostatistics,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,3.5,170,158,3.95,PhD,Chemistry Theoretical,"Social Sciences (Psychology, Sociology, Political Science)"
Boston University,4.5,155,158,3.86,Master,College Of Public Health,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,4,164,166,3.77,PhD,Computer Science,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,3,158,150,3.3,PhD,Computer Science,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,3.5,168,153,9.99,Master,Computer Science ),"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,5,157,158,3.86,PhD,Department Of Political Science,"Social Sciences (Psychology, Sociology, Political Science)"
Boston University,3.5,159,161,3.69,PhD,Department Of Political Science,"Social Sciences (Psychology, Sociology, Political Science)"
Boston University,5,159,153,3.47,Master,Economic Policy,"Social Sciences (Psychology, Sociology, Political Science)"
Boston University,4,170,155,,PhD,Economics,Business and Economics
Boston University,,163,161,3.97,Master,Economics,Business and Economics
Boston University,3,170,153,3.88,PhD,Economics,Business and Economics
Boston University,4,167,160,,PhD,Economics,Business and Economics
Boston University,5,161,154,3.91,Master,Economics,Business and Economics
Boston University,5.5,167,160,3.83,Master,Economics,Business and Economics
Boston University,3.5,168,157,3.89,PhD,Economics,Business and Economics
Boston University,5,166,161,3.81,PhD,Economics,Business and Economics
Boston University,3.5,169,153,3.87,PhD,Electrical And Computer Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,3,167,156,3.85,PhD,Electrical And Computer Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,5.5,156,164,3.97,PhD,Emerging Media Studies,"STEM (Science, Technology, Engineering, Mathematics)"
Boston University,5,159,153,3.47,Master,Global Development Economics (MADGE),Business and Economics
Boston University,5,164,169,3.5,PhD,Health Services Research,"STEM (Science, Technology, Engineering, Mathematics)"
Aachen University Of Applied Sciences,3.5,170,157,3.33,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Abilene Christian University,4.5,142,150,3.9,Master,Clinical Speech-Language Pathology,"Social Sciences (Psychology, Sociology, Political Science)"
Abilene Christian University,,154,155,3.91,Master,Communication Sciences And Disorders,"Social Sciences (Psychology, Sociology, Political Science)"
Abilene Christian University,4,144,149,3.65,Master,Communication Sciences And Disorders,"Social Sciences (Psychology, Sociology, Political Science)"
Abilene Christian University,5.5,460,690,3.35,Master,Communication Sciences And Disorders- Speech Language Pathology,"Social Sciences (Psychology, Sociology, Political Science)"
Adelphi University,,140,145,2.8,Master,Audiology,"STEM (Science, Technology, Engineering, Mathematics)"
Adelphi University,,140,145,2.8,Master,Audiology,"STEM (Science, Technology, Engineering, Mathematics)"
Adelphi University,,165,164,3.9,PhD,Clinical Psychology,"Social Sciences (Psychology, Sociology, Political Science)"
Adelphi University,5,157,145,3.6,Master,Communication Sciences And Disorders,"Social Sciences (Psychology, Sociology, Political Science)"
Adler University,4,168,172,3.88,Master,Clinical Psychology,"Social Sciences (Psychology, Sociology, Political Science)"
Adler University,3.5,156,161,3.5,Master,Clinical Psychology,"Social Sciences (Psychology, Sociology, Political Science)"
Adler University,4.5,156,169,4,Master,Clinical Psychology,"Social Sciences (Psychology, Sociology, Political Science)"
Ahsanullah University Of Science And Technology,3.5,165,165,2.73,Master,Civil Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Alabama A & M University,3,170,144,,PhD,Chemical Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Alabama A & M University,3.5,144,147,3.42,Master,Communication Sciences & Disorders / Speech Language Pathology,
Alabama A & M University,3.5,144,147,3.42,Master,Communication Sciences & Disorders / Speech Language Pathology,
Alabama A & M University,3.5,143,147,3.6,Master,CommUniversity of Illinois at Urbana-Champaign (UIUC)ative Disorders/ Speech Pathology,
Albany State University,3,152,144,3.6,PhD,Environmental Health Sciences,
American Univeristy,5,150,161,3.39,Master,Art History,Arts and Design
American Univeristy,5.5,156,170,3.92,PhD,Communication,
American Univeristy,,,,4,MFA,Creative Writing (Fiction,
American Univeristy,4,160,155,3.45,PhD,Economics,Business and Economics
American Univeristy,4.5,153,159,3.36,Master,Global Governance,
American University,5,152,164,3.5,Master,Art History,Arts and Design
American University,5,149,158,4,Master,Art History,Arts and Design
American University,,690,650,3.83,Master,Arts ,Arts and Design
American University,5.5,156,170,3.92,PhD,Communication,
American University,4,149,152,3.58,Master,Comparative Public Policy,
American University,6,152,159,3.96,MFA,Creative Wriitng (Fiction),
American University,4.5,164,164,3.15,Master,Data Science,
American University,4,770,620,3.8,PhD,Department Of Political Science (IR),
American University,3.5,152,158,3.2,Master,Development Management,
American University,5.5,153,160,3.29,Master,Development Management,
American University,5,790,610,3.56,Master,Development Management,
American University,5,161,161,3.56,Master,Development Management,
American University,3.5,152,158,3.2,Master,Development Management,
American University,5.5,153,160,3.29,Master,Development Management,
American University,2.5,141,157,3.7,PhD,Economics,Business and Economics
American University,4,159,151,3.86,PhD,Economics,Business and Economics
American University,4.5,159,161,3.72,PhD,Economics,Business and Economics
American University,4,163,164,,PhD,Economics,Business and Economics
American University,2.5,141,157,3.7,PhD,Economics,Business and Economics
American University,3,166,157,,PhD,Economics,Business and Economics
American University,4,160,155,3.45,PhD,Economics,Business and Economics
American University,4.5,145,159,3.26,Master,Foreign Policy And National Security,
American University,4.5,800,400,3.3,Master,Global Environmental Policy,
American University,6,163,167,3.68,Master,Global Environmental Policy,
American University,6,145,166,2.8,Master,Global Governance,
American University,4.5,156,160,3.04,Master,Global Governance,
American University,5,158,157,3.29,Master,Global Governance,
American University,4.5,151,157,3.7,Master,Global Media,
Andrews University,4,142,155,3.19,PhD,Educational Leadership - Higher Education,
Annenberg School University,5.5,163,154,3.82,PhD,Communications,
Antioch University,4.5,152,169,3.9,Master,Clinical Psychology,"Social Sciences (Psychology, Sociology, Political Science)"
Antioch University,5.5,160,168,3,Master,Clinical Psychology,"Social Sciences (Psychology, Sociology, Political Science)"
Appalachain State University,,660,400,3.78,Master,Communication Disorder/ Speech Language Pathology,
Appalachain State University,3,147,145,3.8,Master,Communication Disorder/speech Pathology,
Appalachain State University,4,640,450,3.42,Master,Communication Science And Disorders / Speech Language Pathology,
Appalachain State University,3.5,150,155,3.85,Master,Communications Sciences And Disorders-Speech Langauge Pathology,
Appalachian State University,,139,161,3.3,Master,Clinical Mental Health Counseling,
Appalachian State University,,690,440,3.47,Master,Communcation Disorders/ Speech Language Pathology,
Appalachian State University,4.5,580,680,3.57,Master,Communication Disorders / Speech-Language Pathology,
Appalachian State University,4.5,680,580,3.57,Master,Communication Disorders / Speech-Language Pathology,
Appalachian State University,4,620,470,3.49,Master,Communication Disorders/Speech-Language Pathology,
Arizona State University,4,168,159,3.74,Master,Advanced Materials Science And Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,3.5,166,152,3.9,PhD,Advanced Mechanical Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,5,165,161,3.3,Master,Advanced Mechanical Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4,162,150,3.8,PhD,Aerospace and  Mechanical Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,2.5,730,800,3.6,Master,Aerospace and Mechanical Engineering,Business and Economics
Arizona State University,5,168,154,3.8,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,3.5,160,142,3.56,PhD,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,3,156,151,3.1,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,3.5,750,530,8.38,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,2.5,158,144,8.4,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4,760,600,71,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4.5,162,153,0,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,3,790,500,75,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4,164,157,7.25,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,3,158,147,8.24,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4,161,154,4.3,Both MS and PhD,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4.5,158,157,4.3,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4.5,170,162,9.4,Master,Aerospace Engineering,"Humanities (Languages, Literature, History, Philosophy)"
Arizona State University,4,770,580,8.73,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,3,800,430,9.27,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
Arizona State University,4,169,157,8.46,Master,Aerospace Engineering,"STEM (Science, Technology, Engineering, Mathematics)"
